[root@openshift openshift]#
[root@openshift openshift]# oc get clusterserviceclass
NAME                                   EXTERNAL-NAME                                       BROKER                    AGE
90d1940b-c2a3-11e9-a3dc-000c29aa8fab   processserver64-amq-postgresql-s2i                  template-service-broker   33m
90d2b7a0-c2a3-11e9-a3dc-000c29aa8fab   processserver64-basic-s2i                           template-service-broker   33m
90d3db28-c2a3-11e9-a3dc-000c29aa8fab   processserver64-externaldb-s2i                      template-service-broker   33m
90d5214f-c2a3-11e9-a3dc-000c29aa8fab   processserver64-mysql-persistent-s2i                template-service-broker   33m
90d65119-c2a3-11e9-a3dc-000c29aa8fab   processserver64-mysql-s2i                           template-service-broker   33m
90d7c402-c2a3-11e9-a3dc-000c29aa8fab   processserver64-postgresql-persistent-s2i           template-service-broker   33m
90d938ac-c2a3-11e9-a3dc-000c29aa8fab   processserver64-postgresql-s2i                      template-service-broker   33m
90db5825-c2a3-11e9-a3dc-000c29aa8fab   rhdm70-full-persistent                              template-service-broker   33m
90dcb115-c2a3-11e9-a3dc-000c29aa8fab   rhdm70-kieserver-basic-s2i                          template-service-broker   33m
90de0167-c2a3-11e9-a3dc-000c29aa8fab   rhdm70-kieserver-https-s2i                          template-service-broker   33m
90df4cfc-c2a3-11e9-a3dc-000c29aa8fab   rhdm70-kieserver                                    template-service-broker   33m
90e16759-c2a3-11e9-a3dc-000c29aa8fab   rhdm71-authoring-ha                                 template-service-broker   33m
90e4460b-c2a3-11e9-a3dc-000c29aa8fab   rhdm71-authoring                                    template-service-broker   33m
90e6136e-c2a3-11e9-a3dc-000c29aa8fab   rhdm71-kieserver                                    template-service-broker   33m
90e74909-c2a3-11e9-a3dc-000c29aa8fab   rhdm71-optaweb-employee-rostering-trial-ephemeral   template-service-broker   33m
90e8f69e-c2a3-11e9-a3dc-000c29aa8fab   rhdm71-prod-immutable-kieserver                     template-service-broker   33m
90eca739-c2a3-11e9-a3dc-000c29aa8fab   rhdm71-trial-ephemeral                              template-service-broker   33m
90ef02c4-c2a3-11e9-a3dc-000c29aa8fab   rhdm72-authoring-ha                                 template-service-broker   33m
90f14596-c2a3-11e9-a3dc-000c29aa8fab   rhdm72-authoring                                    template-service-broker   33m
90f53a79-c2a3-11e9-a3dc-000c29aa8fab   rhdm72-kieserver                                    template-service-broker   33m
90f6a061-c2a3-11e9-a3dc-000c29aa8fab   rhdm72-optaweb-employee-rostering-trial-ephemeral   template-service-broker   33m
90f84af2-c2a3-11e9-a3dc-000c29aa8fab   rhdm72-prod-immutable-kieserver                     template-service-broker   33m
90fa201b-c2a3-11e9-a3dc-000c29aa8fab   rhdm72-trial-ephemeral                              template-service-broker   33m
90fceee8-c2a3-11e9-a3dc-000c29aa8fab   rhdm73-authoring-ha                                 template-service-broker   33m
90ff4fc3-c2a3-11e9-a3dc-000c29aa8fab   rhdm73-authoring                                    template-service-broker   33m
91012fe8-c2a3-11e9-a3dc-000c29aa8fab   rhdm73-kieserver                                    template-service-broker   33m
9103ffab-c2a3-11e9-a3dc-000c29aa8fab   rhdm73-optaweb-employee-rostering                   template-service-broker   33m
9106fbd3-c2a3-11e9-a3dc-000c29aa8fab   rhdm73-prod-immutable-kieserver                     template-service-broker   33m
91096c6a-c2a3-11e9-a3dc-000c29aa8fab   rhdm73-trial-ephemeral                              template-service-broker   32m
910bb73f-c2a3-11e9-a3dc-000c29aa8fab   rhpam70-authoring-ha                                template-service-broker   33m
910da09a-c2a3-11e9-a3dc-000c29aa8fab   rhpam70-authoring                                   template-service-broker   32m
910f7aa7-c2a3-11e9-a3dc-000c29aa8fab   rhpam70-kieserver-externaldb                        template-service-broker   33m
9111508c-c2a3-11e9-a3dc-000c29aa8fab   rhpam70-kieserver-mysql                             template-service-broker   33m
911379d7-c2a3-11e9-a3dc-000c29aa8fab   rhpam70-kieserver-postgresql                        template-service-broker   33m
9115995f-c2a3-11e9-a3dc-000c29aa8fab   rhpam70-prod-immutable-kieserver                    template-service-broker   33m
91172784-c2a3-11e9-a3dc-000c29aa8fab   rhpam70-prod-immutable-monitor                      template-service-broker   33m
911a55ad-c2a3-11e9-a3dc-000c29aa8fab   rhpam70-prod                                        template-service-broker   33m
911d0aec-c2a3-11e9-a3dc-000c29aa8fab   rhpam70-sit                                         template-service-broker   33m
911eb242-c2a3-11e9-a3dc-000c29aa8fab   rhpam70-trial-ephemeral                             template-service-broker   33m
9125a176-c2a3-11e9-a3dc-000c29aa8fab   rhpam71-authoring-ha                                template-service-broker   33m
912a7c99-c2a3-11e9-a3dc-000c29aa8fab   rhpam71-authoring                                   template-service-broker   33m
912d3784-c2a3-11e9-a3dc-000c29aa8fab   rhpam71-kieserver-externaldb                        template-service-broker   33m
9130114e-c2a3-11e9-a3dc-000c29aa8fab   rhpam71-kieserver-mysql                             template-service-broker   33m
913290cf-c2a3-11e9-a3dc-000c29aa8fab   rhpam71-kieserver-postgresql                        template-service-broker   33m
9135a7dc-c2a3-11e9-a3dc-000c29aa8fab   rhpam71-prod-immutable-kieserver                    template-service-broker   33m
91384a76-c2a3-11e9-a3dc-000c29aa8fab   rhpam71-prod-immutable-monitor                      template-service-broker   33m
913c1767-c2a3-11e9-a3dc-000c29aa8fab   rhpam71-prod                                        template-service-broker   33m
913f5711-c2a3-11e9-a3dc-000c29aa8fab   rhpam71-sit                                         template-service-broker   33m
91418554-c2a3-11e9-a3dc-000c29aa8fab   rhpam71-trial-ephemeral                             template-service-broker   33m
91443a4b-c2a3-11e9-a3dc-000c29aa8fab   rhpam72-authoring-ha                                template-service-broker   33m
9146b164-c2a3-11e9-a3dc-000c29aa8fab   rhpam72-authoring                                   template-service-broker   33m
9149e90f-c2a3-11e9-a3dc-000c29aa8fab   rhpam72-kieserver-externaldb                        template-service-broker   33m
914c5753-c2a3-11e9-a3dc-000c29aa8fab   rhpam72-kieserver-mysql                             template-service-broker   33m
914e7a47-c2a3-11e9-a3dc-000c29aa8fab   rhpam72-kieserver-postgresql                        template-service-broker   33m
91509b90-c2a3-11e9-a3dc-000c29aa8fab   rhpam72-prod-immutable-kieserver                    template-service-broker   33m
9152b37e-c2a3-11e9-a3dc-000c29aa8fab   rhpam72-prod-immutable-monitor                      template-service-broker   33m
9155c4b4-c2a3-11e9-a3dc-000c29aa8fab   rhpam72-prod                                        template-service-broker   33m
9158e882-c2a3-11e9-a3dc-000c29aa8fab   rhpam72-trial-ephemeral                             template-service-broker   32m
915c7721-c2a3-11e9-a3dc-000c29aa8fab   rhpam73-authoring-ha                                template-service-broker   33m
9160398d-c2a3-11e9-a3dc-000c29aa8fab   rhpam73-authoring                                   template-service-broker   33m
916802d0-c2a3-11e9-a3dc-000c29aa8fab   rhpam73-kieserver-externaldb                        template-service-broker   33m
916a7125-c2a3-11e9-a3dc-000c29aa8fab   rhpam73-kieserver-mysql                             template-service-broker   33m
916d324c-c2a3-11e9-a3dc-000c29aa8fab   rhpam73-kieserver-postgresql                        template-service-broker   33m
916fce4c-c2a3-11e9-a3dc-000c29aa8fab   rhpam73-managed                                     template-service-broker   33m
917227d8-c2a3-11e9-a3dc-000c29aa8fab   rhpam73-prod-immutable-kieserver                    template-service-broker   33m
91743632-c2a3-11e9-a3dc-000c29aa8fab   rhpam73-prod-immutable-monitor                      template-service-broker   33m
9177a320-c2a3-11e9-a3dc-000c29aa8fab   rhpam73-prod                                        template-service-broker   33m
917b8a63-c2a3-11e9-a3dc-000c29aa8fab   rhpam73-trial-ephemeral                             template-service-broker   33m
917cbc2e-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-spring-boot-camel-amq                    template-service-broker   33m
917db65e-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-spring-boot-camel-config                 template-service-broker   33m
917ea0bf-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-spring-boot-camel-drools                 template-service-broker   33m
917fabc5-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-spring-boot-camel-infinispan             template-service-broker   33m
9184fc91-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-spring-boot-camel-rest-3scale            template-service-broker   33m
91863f84-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-spring-boot-camel-rest-sql               template-service-broker   33m
91876200-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-spring-boot-camel-teiid                  template-service-broker   33m
918866a5-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-spring-boot-camel                        template-service-broker   33m
